;Place of interest;City;Place address;lat_start;long_start;Type of place;Start;id;BiciMAD station;light;number;Station location;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry_type;geometry_coordinates;long_finish;lat_finish;final;Distance
930;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);144;Serrano 210;2;148;Calle Serrano nº 210;1;0;24;9;15;0;Point;[-3.6817962, 40.4510188];-3.6817962;40.4510188;POINT (4502986.814885137 -410138.0377956034);5667.50732044506
1046;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);261;Doctor Fleming;2;253;Calle Doctor Fleming nº 7;1;0;21;11;9;0;Point;[-3.68844, 40.45546];-3.68844;40.45546;POINT (4503481.207007647 -410879.1546019998);5695.752224235139
987;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);201;Ventas;0;193;Avenida de los Toreros nº 49;1;0;27;7;17;0;Point;[-3.6655555, 40.4324722];-3.6655555;40.4324722;POINT (4500922.216817189 -408326.4087308961);5745.376377096117
981;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);195;Alcalá-Ventas;2;187;Calle Alejandro González nº 1;1;0;24;9;14;0;Point;[-3.6638888, 40.4301666];-3.6638888;40.4301666;POINT (4500665.558599217 -408140.4923668504);5809.607625604946
1035;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);249;Camilo José Cela;0;241;Avenida de Camilo José Cela nº 23;1;0;24;4;20;0;Point;[-3.66779, 40.4378];-3.66779;40.4378;POINT (4501515.304800238 -408575.6623587617);5814.351122208164
1000;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);214;Metro Tetuán;2;206;Calle Marqués de Viana nº 3;1;0;24;16;7;0;Point;[-3.6989925, 40.4607502];-3.6989925;40.4607502;POINT (4504070.109377841 -412056.2988241261);5827.401655907517
1019;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);233;Doctor Lozano;2;225;Calle Sierra Toledana nº 33;1;0;24;9;13;0;Point;[-3.660188083470652, 40.40248333540473];-3.660188083470652;40.40248333540473;POINT (4497583.871680976 -407727.6876039788);5833.645557019902
1020;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);234;Sierra Toledana;2;226;Camino de Valderribas nº 94;1;0;24;10;14;0;Point;[-3.6607768678037744, 40.39901531507069];-3.6607768678037744;40.39901531507069;POINT (4497197.81342333 -407793.364764792);5837.426798235237
959;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);173;Paseo de la Habana 63;2;159;Paseo de la Habana nº 63;1;0;24;8;15;0;Point;[-3.6835926, 40.4543852];-3.6835926;40.4543852;POINT (4503361.560818942 -410338.4259175063);5862.856041234264
979;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);193;Quinta Fuente del Berro;2;185;Calle Sancho Dávila esquina Paseo Marqués de Zafra;1;0;24;9;13;0;Point;[-3.6615277, 40.4250833];-3.6615277;40.4250833;POINT (4500099.688231667 -407877.1179508124);5867.551182994088
